index,s1,s2,s3,s4,s5
270,90,91,94,97,95
271,86,89,89,91,87
272,94,95,80,87,84
273,80,96,84,91,86
274,91,88,91,98,88
275,95,84,94,85,84
276,83,85,97,80,97
277,91,80,99,85,96
278,87,97,83,89,89
279,93,85,88,82,98
280,93,86,87,95,80
281,82,85,95,93,98
282,81,88,90,89,91
283,89,81,80,93,95
284,99,82,97,89,82
285,91,98,94,86,87
286,86,90,85,96,91
287,94,93,89,87,85
288,80,93,82,89,97
289,88,98,93,85,85
290,89,88,91,94,97
291,94,95,80,93,85
292,87,84,92,87,92
293,82,82,85,96,81
294,98,99,80,93,89
295,97,92,91,96,88
296,86,91,84,95,88
297,97,96,95,91,90
298,85,93,87,99,95
299,83,92,82,83,98
300,86,90,92,90,81
301,93,98,92,84,87
302,90,81,81,89,97
303,92,86,90,88,84
304,98,82,91,95,90
305,96,99,95,98,85
306,91,90,97,91,89
307,83,90,86,98,80
308,98,87,82,92,96
309,83,90,80,96,93
310,89,99,82,83,87
311,84,87,96,89,83
312,97,85,85,92,96
313,87,80,99,99,85
314,86,86,92,97,91
315,86,94,80,99,97
316,96,83,98,94,95
317,94,95,86,87,92
318,95,94,89,99,90
319,85,98,91,91,84
320,93,89,87,89,80
321,94,90,92,88,97
322,98,90,95,91,92
323,87,89,82,80,96
324,96,88,93,83,98
325,88,85,99,88,93
326,97,92,97,92,84
327,96,83,97,89,88
328,86,98,98,88,84
329,89,91,86,98,95
330,91,83,94,86,90
331,89,81,94,80,89
332,94,85,85,96,82
333,98,85,93,86,90
334,80,98,89,86,86
335,94,87,93,85,82
336,94,87,95,98,93
337,98,94,99,90,87
338,88,93,96,83,86
339,80,82,85,94,95
340,80,86,86,91,85
341,81,93,98,95,90
342,81,94,89,85,87
343,85,86,99,96,83
344,82,92,85,98,97
345,93,98,82,89,82
346,96,91,82,83,94
347,80,92,81,90,92
348,89,85,95,99,85
349,85,94,99,89,88
350,81,81,84,98,93
351,90,83,86,88,85
352,96,89,86,90,80
353,90,97,98,88,80
354,83,82,81,82,98
355,98,85,91,85,88
356,85,91,95,94,95
357,82,90,91,95,99
358,95,99,90,88,81
359,84,96,90,96,85
360,99,82,88,93,99
361,97,99,94,93,91
362,80,98,99,92,91
363,85,98,99,81,88
364,86,81,84,85,97
365,84,81,96,99,99
366,99,80,85,87,83
367,94,82,95,89,98
368,80,91,94,91,98
369,91,82,95,96,93
370,83,88,83,80,80
371,83,89,97,87,92
372,85,97,87,90,84
373,88,81,93,93,99
374,87,96,81,90,89
375,96,88,85,86,94
376,95,84,96,85,92
377,94,87,92,87,89
378,91,97,98,84,91
379,93,90,90,83,90
380,86,89,98,82,88
381,97,87,83,99,82
382,85,85,86,85,90
383,80,83,91,88,85
384,92,80,86,84,89
385,94,94,82,95,97
386,92,96,92,87,88
387,98,82,97,91,87
388,92,88,85,99,95
389,80,92,82,93,84
390,92,97,96,82,82
391,90,94,84,90,92
392,80,95,91,83,84
393,90,81,98,90,95
394,91,94,80,92,84
395,88,89,86,95,80
396,80,81,99,93,98
397,90,94,99,80,81
398,83,99,99,82,84
399,96,96,82,93,93
400,98,84,86,89,94
401,91,89,88,88,83
402,81,83,88,82,99
403,92,95,84,95,90
404,80,82,89,93,92
405,95,86,90,91,84
406,97,93,92,88,99
407,91,97,96,83,90
408,86,82,95,89,99
409,80,97,91,81,88
410,90,98,81,87,89
411,81,98,92,81,98
412,98,80,91,81,94
413,99,92,95,85,85
414,98,81,81,90,97
415,83,96,99,83,94
416,94,84,96,93,89
417,98,83,88,87,96
418,84,93,86,97,97
419,90,87,82,80,98
420,81,96,87,87,85
421,88,91,89,85,89
422,82,80,84,83,90
423,87,83,98,84,93
424,86,81,95,97,98
425,96,93,84,92,81
426,84,84,97,81,80
427,94,98,99,96,94
428,98,85,93,80,87
429,99,83,96,91,82
430,88,89,81,94,84
431,94,82,94,96,82
432,88,99,81,87,86
433,87,85,94,96,89
434,93,99,99,95,82
435,89,86,80,81,80
436,89,98,91,95,90
437,93,88,92,82,84
438,99,80,92,90,96
439,97,87,83,93,80
440,87,95,84,91,91
441,90,93,87,94,90
442,83,92,91,93,84
443,89,86,83,81,97
444,99,94,90,87,95
445,97,85,84,95,93
446,94,84,89,85,90
447,93,91,81,90,89
448,92,89,87,90,86
449,94,86,84,90,86
450,89,91,83,91,80
451,85,94,99,89,90
452,97,97,99,99,98
453,99,97,95,90,88
454,94,85,90,87,92
455,84,92,89,86,80
456,99,93,84,91,94
457,94,97,96,90,89
458,86,98,82,92,85
459,97,98,81,89,89
460,85,85,84,86,85
461,95,90,98,91,94
462,94,81,84,99,80
463,87,95,94,89,83
464,98,95,92,83,87
465,87,88,99,92,99
466,85,88,90,91,90
467,95,98,83,94,83
468,90,98,97,85,99
469,92,81,84,82,95
470,85,83,95,83,87
471,90,83,82,82,89
472,84,92,97,83,92
473,95,94,92,91,80
474,95,80,98,93,91
475,92,96,81,87,82
476,94,88,89,83,93
477,98,81,99,80,86
478,93,99,91,98,99
479,92,91,97,89,86
480,81,90,99,98,83
481,92,92,84,95,88
482,84,84,89,84,90
483,90,82,81,98,94
484,91,99,98,80,84
485,98,98,85,98,85
486,96,96,98,90,89
487,98,80,93,95,96
488,84,80,93,91,93
489,96,99,81,89,98
490,91,89,89,84,96
491,89,90,95,96,95
492,98,88,91,92,97
493,92,90,85,81,88
494,87,89,85,93,94
495,98,85,82,96,90
496,84,87,89,91,87
497,91,98,93,95,89
498,90,86,85,98,86
499,99,92,92,89,84
500,99,87,84,96,89
501,80,91,93,91,86
502,88,98,96,88,84
503,98,87,81,98,93
504,86,87,99,80,91
505,90,87,89,91,97
506,90,97,93,85,98
507,97,89,89,88,80
508,88,91,84,81,92
509,84,97,85,92,90
510,99,99,84,88,85
511,86,85,98,84,84
512,92,82,81,94,93
513,86,98,95,96,83
514,91,87,90,91,94
515,91,95,94,93,98
516,90,99,93,95,96
517,93,90,83,86,80
518,81,86,97,93,94
519,87,85,82,93,97
520,89,85,86,84,95
521,99,88,95,92,97
522,97,89,91,98,90
523,90,94,94,94,82
524,95,91,84,99,87
525,90,89,95,84,98
526,88,82,95,96,81
527,90,99,95,98,95
528,83,98,96,98,88
529,80,95,80,86,99
530,95,84,97,98,93
531,93,89,88,99,97
532,89,87,84,95,81
533,95,87,82,92,88
534,80,84,95,86,83
535,88,97,96,89,91
536,95,90,95,95,86
537,91,87,94,93,86
538,80,83,95,92,87
539,86,81,86,99,86
540,82,99,88,97,80
541,81,95,91,80,98
542,92,80,85,89,82
543,98,85,96,82,86
544,84,90,86,92,92
545,81,91,83,84,81
546,92,97,83,88,88
547,91,97,97,89,95
548,87,93,88,99,89
549,86,84,82,94,93
550,81,89,98,86,96
551,80,85,80,99,99
552,82,86,86,84,82
553,93,82,92,96,97
554,89,80,84,97,87
555,93,86,93,92,81
556,87,91,80,89,95
557,98,91,96,82,95
558,88,99,84,88,94
559,90,93,89,96,97
560,93,99,82,87,87
561,88,92,83,99,86
562,88,92,87,96,80
563,95,86,88,83,98
564,93,95,99,84,86
565,87,96,87,97,96
566,84,84,82,91,85
567,98,84,98,86,98
568,96,87,94,89,90
569,90,88,90,93,88
570,86,82,92,88,83
571,97,87,93,95,95
572,91,90,91,88,82
573,99,90,98,95,95
574,87,98,92,84,86
575,82,91,85,86,95
576,90,83,93,97,82
577,92,81,80,83,81
578,95,99,97,99,89
579,82,98,92,83,82
580,96,87,83,81,98
581,87,81,90,82,97
582,95,86,94,88,97
583,89,88,87,98,89
584,80,83,83,82,99
585,82,87,91,85,95
586,88,93,92,95,94
587,80,92,86,95,92
588,90,92,95,85,96
589,87,87,96,86,98
590,94,84,89,81,89
591,99,95,97,98,95
592,92,82,95,80,90
593,86,91,98,99,82
594,95,86,89,97,88
595,84,84,96,88,83
596,87,90,99,82,89
597,83,87,91,85,84
598,99,85,98,97,89
599,84,84,97,93,89
600,98,90,84,88,97
601,92,86,93,87,85
602,96,93,92,99,81
603,84,97,90,94,99
604,99,82,89,92,81
605,82,84,85,99,93
606,83,92,98,99,84
607,95,91,90,98,83
608,80,89,94,95,99
609,87,85,90,95,88
610,90,86,86,88,82
611,83,81,94,81,86
612,97,98,92,96,89
613,80,99,91,93,85
614,91,99,87,99,96
615,84,87,92,93,86
616,91,82,80,87,80
617,92,85,80,98,98
618,91,92,93,88,92
619,89,95,96,99,85
620,90,82,94,83,93
621,82,98,84,84,98
622,84,86,83,96,90
623,92,83,85,91,94
624,94,92,96,98,95
625,82,89,97,90,86
626,82,82,82,84,82
627,94,80,82,98,94
628,93,97,97,92,83
629,94,81,87,92,98
630,94,82,82,82,92
631,88,86,92,98,98
632,81,90,90,93,97
633,91,92,95,88,91
634,96,86,96,95,91
635,85,91,91,98,92
636,85,90,83,98,83
637,94,86,98,96,83
638,87,88,88,84,81
639,85,92,87,91,93
640,83,81,99,95,85
641,95,84,91,89,89
642,95,96,99,99,96
643,87,83,80,93,99
644,97,98,97,80,93
645,96,99,80,91,92
646,87,84,91,81,81
647,88,82,98,89,91
648,92,88,91,84,89
649,96,83,85,95,96
650,94,80,84,88,91
651,83,92,96,86,86
652,90,89,90,91,94
653,93,89,86,86,86
654,96,87,94,94,99
655,93,90,83,97,85
656,90,96,80,88,89
657,85,87,87,82,80
658,98,96,80,83,89
659,91,96,98,88,97
660,96,82,86,89,98
661,95,80,94,80,86
662,84,89,92,90,84
663,90,93,89,98,99
664,81,86,88,97,98
665,90,98,94,98,91
666,93,99,82,89,93
667,98,91,81,90,96
668,95,91,90,93,98
669,88,93,84,94,98
670,93,93,84,86,89
671,92,92,84,87,80
672,89,90,81,98,86
673,94,97,96,99,92
674,95,98,96,99,99
675,84,94,83,87,91
676,92,88,86,94,97
677,85,88,89,99,85
678,84,80,86,81,81
679,89,86,87,88,81
680,93,96,83,93,95
681,82,89,88,96,82
682,86,93,96,85,97
683,93,91,98,84,90
684,86,86,85,80,87
685,84,92,91,96,86
686,80,87,90,81,90
687,89,81,99,84,82
688,82,86,96,83,85
689,80,93,94,91,99
690,97,87,87,80,85
691,94,88,89,91,85
692,90,93,82,95,85
693,93,96,88,97,88
694,85,86,99,96,89
695,97,82,94,99,95
696,94,80,87,85,92
697,80,84,90,80,80
698,89,96,96,89,92
699,88,85,90,82,92
700,95,95,97,99,80
701,89,83,93,91,95
702,82,98,99,97,91
703,85,97,83,85,92
704,85,81,81,82,85
705,88,85,87,90,89
706,90,88,85,85,95
707,85,81,95,88,96
708,97,93,95,83,95
709,80,94,96,81,99
710,89,98,97,82,90
711,99,96,84,92,89
712,97,86,84,80,96
713,91,99,95,93,85
714,86,82,91,82,89
715,90,99,96,86,87
716,81,96,87,97,90
717,83,98,84,97,97
718,95,84,87,96,84
719,91,81,80,88,80
720,92,84,82,88,88
721,83,97,99,88,82
722,91,87,94,94,89
723,86,97,98,98,85
724,99,90,84,96,84
725,95,96,90,85,95
726,81,82,81,84,81
727,82,98,97,88,89
728,81,88,95,82,85
729,97,99,97,82,91
730,93,90,91,97,89
731,93,94,97,87,91
732,85,99,93,81,85
733,87,80,82,90,97
734,95,81,98,82,85
735,87,81,85,91,80
736,81,87,93,92,97
737,80,85,97,98,82
738,95,89,91,83,86
739,96,88,96,87,87
740,80,88,92,83,94
741,87,82,88,96,89
742,83,87,97,99,85
743,86,84,82,91,86
744,92,92,86,97,81
745,94,92,80,89,84
746,85,96,92,85,98
747,85,93,83,98,80
748,90,83,99,95,98
749,90,87,84,90,87
750,91,98,92,87,98
751,91,83,94,88,88
752,85,89,95,81,89
753,93,95,88,81,87
754,84,90,89,99,97
755,85,85,96,84,99
756,92,86,81,92,92
757,93,92,80,87,95
758,86,85,93,81,91
759,98,96,87,85,95
760,92,88,97,93,81
761,99,98,80,87,86
762,86,91,81,95,95
763,86,99,88,80,89
764,85,99,87,92,90
765,91,86,98,83,84
766,94,96,91,89,92
767,92,85,84,96,84
768,98,93,95,98,83
769,84,80,89,95,87
770,93,92,82,80,82
771,80,85,94,92,93
772,84,84,90,83,96
773,96,81,87,89,96
774,80,99,92,99,82
775,87,87,82,90,95
776,92,93,95,85,86
777,93,92,99,96,92
778,81,92,83,91,92
779,83,84,92,90,91
780,87,94,90,84,94
781,90,94,99,98,95
782,92,89,85,95,96
783,84,81,96,81,84
784,87,89,92,90,98
785,81,98,91,87,83
786,84,97,93,82,88
787,94,83,85,98,92
788,92,91,84,95,92
789,95,85,80,94,84
790,85,87,89,83,92
791,80,88,85,99,94
792,82,84,95,96,87
793,83,95,85,93,92
794,99,98,94,97,85
795,90,87,87,81,83
796,97,91,95,93,85
797,83,91,87,85,90
798,84,81,84,91,83
799,88,93,82,98,95
800,82,92,99,96,86
801,96,89,83,88,82
802,92,93,91,88,90
803,93,83,84,92,87
804,95,84,83,86,80
805,98,96,83,91,94
806,80,94,93,91,80
807,93,82,83,86,97
808,80,92,84,81,97
809,96,89,99,97,85
810,94,86,82,95,90
811,99,82,80,95,98
812,89,81,93,97,94
813,93,91,96,88,92
814,94,98,96,86,87
815,94,83,95,81,89
816,88,83,83,96,80
817,81,87,82,95,87
818,91,96,83,97,99
819,99,86,88,87,84
820,99,82,94,81,86
821,90,97,98,88,80
822,88,84,83,80,95
823,99,81,88,81,91
824,97,96,88,88,96
825,89,96,85,80,82
826,99,87,98,98,96
827,87,83,99,92,95
828,94,80,88,80,95
829,99,97,80,88,83
830,86,86,98,98,95
831,99,93,84,82,95
832,80,97,95,82,81
833,81,87,82,97,96
834,99,86,86,83,81
835,88,82,91,88,86
836,85,93,86,86,97
837,88,91,88,94,83
838,96,93,87,94,96
839,91,90,99,93,84
840,93,92,81,99,90
841,82,87,90,87,92
842,84,99,86,84,93
843,81,81,86,97,85
844,84,83,90,81,92
845,80,98,97,83,90
846,98,89,86,90,83
847,93,91,98,86,95
848,84,85,99,85,96
849,87,81,95,90,93
850,89,90,81,97,90
851,84,86,84,86,96
852,97,95,96,88,93
853,90,80,82,92,97
854,97,84,89,88,86
855,97,97,81,92,82
856,85,85,81,89,87
857,91,86,89,90,82
858,88,96,86,82,81
859,94,80,83,88,82
860,92,89,85,94,87
861,99,97,98,97,90
862,93,87,87,87,82
863,91,80,85,83,85
864,81,91,80,91,96
865,93,84,81,85,85
866,85,82,89,99,87
867,81,83,98,88,85
868,99,97,81,88,81
869,88,86,85,87,87
870,86,84,85,97,93
871,87,85,80,84,99
872,84,88,86,82,86
873,89,99,90,90,86
874,84,99,97,94,84
875,99,88,97,81,91
876,96,93,91,82,90
877,89,87,81,90,93
878,97,84,93,98,87
879,95,94,86,83,99
880,87,92,92,97,98
881,88,83,87,96,88
882,99,92,86,90,99
883,91,81,80,85,80
884,95,85,86,81,94
885,99,95,87,97,85
886,97,89,88,97,80
887,92,80,93,88,92
888,88,96,89,94,97
889,84,83,96,95,86
890,81,90,86,81,99
891,83,98,92,89,88
892,98,82,91,86,90
893,89,86,86,96,91
894,81,95,80,81,98
895,94,99,97,86,93
896,91,91,85,88,80
897,83,89,88,95,83
898,81,88,97,95,81
899,80,94,97,94,95
900,98,96,86,97,98
901,86,97,81,87,82
902,83,90,89,85,91
903,84,96,90,80,85
904,96,99,80,91,92
905,82,83,89,85,86
906,91,96,87,81,82
907,92,83,89,83,94
908,85,89,95,90,81
909,85,93,85,90,87
910,83,86,99,87,94
911,97,94,85,96,90
912,92,83,96,97,93
913,80,86,86,84,86
914,95,88,82,89,85
915,83,99,85,87,89
916,90,91,82,93,94
917,84,90,89,83,95
918,94,99,86,94,91
919,91,81,98,89,90
920,91,91,99,89,84
921,81,91,85,92,80
922,82,83,81,94,87
923,82,99,83,93,89
924,97,81,98,96,89
925,91,86,83,94,88
926,90,87,81,89,81
927,95,92,88,96,86
928,97,94,92,80,81
929,90,89,82,84,84
930,90,80,85,87,95
931,97,98,96,98,94
932,87,85,86,86,84
933,88,80,96,94,88
934,85,96,80,99,86
935,82,91,93,83,84
936,86,88,90,80,96
937,83,97,92,97,97
938,84,87,80,97,96
939,80,84,88,95,95
940,92,96,94,89,97
941,85,84,85,94,94
942,94,96,81,98,97
943,93,93,95,88,88
944,96,81,85,87,91
945,89,94,82,96,86
946,99,87,88,94,88
947,80,81,96,91,91
948,98,93,94,92,80
949,93,94,96,92,82
950,81,88,86,87,94
951,98,85,97,92,82
952,96,97,88,87,88
953,80,81,84,84,87
954,94,95,82,89,96
955,82,96,99,87,95
956,96,92,85,89,93
957,97,84,88,86,99
958,90,97,97,95,90
959,95,96,86,84,80
960,93,83,88,83,95
961,93,87,92,85,94
962,89,80,97,84,89
963,85,91,86,88,81
964,82,95,97,97,91
965,91,90,80,83,93
966,90,97,99,87,99
967,91,99,96,92,85
968,87,92,91,83,80
969,94,93,95,93,97
970,85,92,93,84,94
971,86,83,91,95,85
972,91,81,87,98,93
973,92,97,94,86,85
974,86,99,97,80,98
975,93,86,86,80,80
976,85,80,93,95,92
977,92,98,94,89,98
978,99,89,93,99,86
979,89,99,98,96,87
980,84,98,85,91,98
981,93,97,83,96,81
982,81,88,90,92,96
983,98,97,97,91,80
984,95,99,91,83,83
985,89,87,85,92,80
986,85,84,88,85,95
987,84,85,81,83,86
988,81,86,97,97,91
989,88,88,94,96,94
990,93,85,91,98,90
991,88,90,80,80,84
992,90,86,82,93,91
993,90,87,84,86,88
994,87,93,89,97,97
995,90,80,95,90,94
996,99,81,95,99,99
997,81,82,92,80,89
998,84,98,91,89,90
999,99,96,85,86,88
0,78,74,70,77,77
1,75,75,77,70,76
2,76,76,71,75,78
3,75,72,74,73,73
4,77,70,73,77,70
5,70,77,71,70,75
6,76,76,70,71,73
7,77,77,77,76,75
8,70,70,78,74,77
9,70,73,75,76,72
10,78,72,70,73,77
11,78,77,76,71,77
12,73,71,71,78,70
13,72,74,78,71,70
14,77,71,71,77,73
15,71,74,70,72,78
16,74,71,73,73,74
17,75,75,78,75,71
18,76,70,76,73,78
19,77,78,75,77,75
20,77,78,73,74,75
21,78,76,73,75,77
22,78,74,72,72,72
23,72,78,72,77,75
24,71,72,73,78,78
25,73,75,72,77,78
26,72,76,71,71,71
27,78,73,72,71,74
28,73,77,75,73,77
29,71,78,70,77,70
30,76,78,70,77,73
31,70,75,78,77,75
32,77,70,76,71,71
33,78,77,75,76,73
34,77,70,74,78,73
35,73,74,78,78,72
36,71,78,70,71,77
37,78,73,70,70,72
38,75,76,77,77,71
39,73,70,78,74,78
40,77,77,77,71,77
41,75,74,71,74,78
42,74,74,74,77,71
43,74,71,76,71,73
44,74,72,76,77,75
45,76,70,70,74,77
46,77,70,73,71,75
47,73,76,75,73,75
48,70,78,72,71,76
49,76,76,76,73,74
50,70,73,71,70,73
51,76,78,72,74,74
52,73,77,72,78,71
53,75,74,74,72,73
54,72,73,70,71,76
55,72,77,72,76,78
56,72,78,77,76,73
57,74,73,74,71,73
58,71,78,78,71,77
59,78,70,73,71,78
60,71,74,71,73,73
61,74,71,73,70,78
62,72,70,78,78,77
63,74,77,78,77,78
64,72,75,70,78,71
65,70,77,72,72,77
66,77,77,74,74,78
67,74,75,78,78,75
68,75,75,72,72,75
69,72,78,77,70,73
70,71,70,78,76,78
71,75,75,76,72,76
72,73,70,78,70,75
73,77,77,75,74,76
74,72,76,71,70,70
75,74,73,72,76,74
76,70,71,78,78,77
77,74,71,76,74,71
78,78,77,72,70,71
79,78,77,74,73,75
80,70,76,73,75,73
81,74,75,73,71,70
82,71,76,72,71,75
83,76,77,77,72,75
84,72,78,78,74,70
85,71,72,77,71,71
86,77,76,72,75,70
87,73,76,77,70,76
88,73,70,71,70,74
89,70,77,78,78,74
90,77,71,75,76,74
91,76,74,76,76,76
92,71,72,73,74,77
93,74,76,72,73,75
94,77,77,71,77,78
95,73,72,72,78,70
96,71,77,76,73,73
97,76,70,77,76,73
98,78,73,72,74,76
99,77,77,74,73,77
100,77,74,70,71,74
101,70,74,75,77,72
102,70,70,74,76,71
103,73,74,75,72,76
104,77,73,71,72,77
105,75,77,76,77,75
106,76,77,74,74,72
107,78,73,75,78,77
108,76,70,74,75,72
109,70,78,78,78,73
110,71,74,70,76,75
111,72,78,71,70,75
112,76,76,71,76,76
113,71,77,77,73,76
114,73,78,78,71,74
115,76,73,74,76,71
116,73,71,78,72,75
117,77,74,73,77,78
118,72,76,73,73,71
119,78,72,78,72,75
120,76,74,77,78,71
121,70,77,73,72,76
122,76,73,73,73,75
123,70,78,78,70,75
124,73,76,71,73,74
125,70,75,77,72,78
126,70,71,78,70,71
127,77,78,75,77,76
128,76,72,78,76,72
129,76,73,71,76,77
130,76,78,76,78,76
131,77,70,75,75,77
132,74,72,72,72,77
133,70,76,77,74,72
134,71,71,77,75,74
135,77,75,75,77,75
136,72,78,72,72,72
137,75,70,78,72,72
138,72,78,76,76,71
139,76,70,78,70,72
140,74,78,72,77,71
141,70,70,75,73,74
142,78,77,76,77,76
143,77,75,73,70,75
144,76,75,78,72,78
145,71,77,76,77,70
146,72,71,76,76,70
147,71,70,78,71,76
148,77,77,75,77,74
149,77,72,73,73,77
150,75,72,75,71,75
151,73,78,72,74,74
152,77,78,75,76,73
153,74,77,77,75,76
154,73,77,71,78,77
155,78,76,77,72,70
156,73,75,73,73,72
157,74,75,77,78,76
158,74,73,73,75,77
159,77,72,77,77,76
160,70,72,74,74,75
161,71,71,77,78,76
162,76,77,70,78,74
